_id,is_managed
8cb86e0f-87c5-4edd-92b5-d071c1464edb,1
d0b51bef-7d5b-4d45-8491-a737cc86663d,1
4362cdc9-0054-4be0-b869-9caa8827e951,1
495689b7-7b10-4405-927b-8a1468963625,1
d80c14e9-3200-47b8-88ef-0179c6766bf5,1
b7c80a11-98bc-445e-b80b-be67115a24e9,1
edc0d83c-8063-46fa-9419-31936378e892,1
d00adc34-634e-4ba0-a548-8175b53e6a7f,1
67f644b0-074c-4f47-80b9-86237d614ae8,1
bd25fb3b-0599-496d-a2b7-49cda9e124b5,1
1a67a9be-4406-4bf0-8f4b-f92d84e0dd88,1
ca6206b4-271f-4419-90c3-f3bcee46bd16,1
3154fb57-bcf7-4154-8e45-2b827f385a02,1
8cdd3936-4233-4b8d-9a17-2bd862b155e9,1
59195051-4e03-40d9-9133-10d0f328b932,1
30143e37-4be8-47c7-83ff-edef9345c121,1
4ec4ce20-bd13-417f-985d-edbdbad14c25,1
6a021f6d-85f6-4b61-8c90-46c9f4d5aab2,1
a8307b90-6529-4c40-aa53-ce28d5685f0c,1
ba7b7242-8d48-4aed-a277-286347d30e50,1
7d40d435-983c-4374-8eb2-04b30d94f15e,1
befa1a04-171d-4656-93e3-2492b28fc893,1
ad3fe7f8-c6eb-4372-8841-9406fb59b6e3,1
338cffd9-b177-48d3-9a04-e89817976071,1
96ec0678-f47a-48d1-bb3f-b65939f62a28,1
e66b1a44-7dc1-4083-9b07-64cf69f304bf,1
4c896ffb-5d45-4c3b-9a06-b41be432e7d2,1
8afd2813-3284-4305-8beb-ba272978a63a,1
584ac4d4-2280-4645-a30b-ab36a0f36540,1
93541769-b4d7-4513-8d7d-7e553f08ba3c,1
da9f8144-148d-435c-99bb-55ddeeac9bbb,1
dde9340d-f6f7-441a-a76e-a9088949baa7,1
8288a381-e160-4e99-b614-64dae36e7a57,1
037bf651-606c-41bf-a780-57c65cb936d8,1
b1abf11c-2330-49fa-8085-57f66a6e426d,1
5bb8f53d-3e68-45ad-803e-16ae114903ac,1
a712ebed-451e-4bb4-b983-d26388fa901e,1
9fd4601f-7c44-49a6-9708-49924da1d150,1
3d8eb5f2-6ce2-4098-9dbd-deb751d5a1cc,1
95d91e3b-67a8-458f-ba7a-c65ed9cfac97,1
225aafcf-78d6-4bca-a0cb-f6173b4371c6,1
89941859-f7bf-4a40-b298-d279f76fa4a8,1
17fd17a2-e699-4c77-9799-1f33090e46f4,1
eae4045c-8bf1-4f4a-8777-92795e00aa4b,1
35deee5d-fbcf-4d6d-b185-ab19bd6009a0,1
0a9e6f76-72ef-442e-bb68-8d5664a87635,1
0dd1af40-2e5a-48a8-a6ea-a5cdcdfdbe4f,1
f2ae0931-c32c-42a9-9ebf-c239832f2704,1
