,cluster,prometheus,prometheus_replica,_sample_start,_sample_end,_min_time,_max_time,_count,_sum,_min,_max
33,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 14:15:00,2022-05-30 14:30:00,2022-05-30 14:15:20,2022-05-30 14:29:50,30,200.59283810913502,6.422190476193406,6.95904761906048
34,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 14:30:00,2022-05-30 14:45:00,2022-05-30 14:30:20,2022-05-30 14:44:50,30,200.84451664052648,6.048285714279685,7.359435629862011
35,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 14:45:00,2022-05-30 15:00:00,2022-05-30 14:45:20,2022-05-30 14:59:50,30,197.30234311840007,6.082571428570721,7.325238095237209
36,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 15:00:00,2022-05-30 15:15:00,2022-05-30 15:00:20,2022-05-30 15:14:50,30,217.35244550827392,6.410285714286424,9.432362288897846
37,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 15:15:00,2022-05-30 15:30:00,2022-05-30 15:15:20,2022-05-30 15:29:50,30,235.5386999386077,5.390095238103754,12.476857142857765
38,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 15:30:00,2022-05-30 15:45:00,2022-05-30 15:30:20,2022-05-30 15:44:50,30,207.68062511032124,6.633523809519556,7.281714285721648
39,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 15:45:00,2022-05-30 16:00:00,2022-05-30 15:45:20,2022-05-30 15:59:50,30,208.06982734387657,6.596863280952499,7.7362857142884645
40,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 16:00:00,2022-05-30 16:15:00,2022-05-30 16:00:20,2022-05-30 16:14:50,30,224.83649009493934,6.729809523806246,10.012153395576414
41,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 16:15:00,2022-05-30 16:30:00,2022-05-30 16:15:20,2022-05-30 16:29:50,30,217.30059460894196,6.814355318498716,7.840095238090452
42,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 16:30:00,2022-05-30 16:45:00,2022-05-30 16:30:20,2022-05-30 16:44:50,30,226.38010473111217,7.2338095238011,7.902476190480714
43,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 16:45:00,2022-05-30 17:00:00,2022-05-30 16:45:20,2022-05-30 16:59:50,30,226.23072143416928,7.256645554664163,8.030095238098873
44,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 17:00:00,2022-05-30 17:15:00,2022-05-30 17:00:20,2022-05-30 17:14:50,30,234.6368985330676,7.312998229118852,8.532380952377848
45,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 17:15:00,2022-05-30 17:30:00,2022-05-30 17:15:20,2022-05-30 17:29:50,30,225.05814027423438,7.123283284223665,7.938190476190567
46,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 17:30:00,2022-05-30 17:45:00,2022-05-30 17:30:20,2022-05-30 17:44:50,30,225.29870848844857,7.148808017212762,8.197425625278031
47,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 17:45:00,2022-05-30 18:00:00,2022-05-30 17:45:20,2022-05-30 17:59:50,30,225.760859484574,7.169333333326949,7.9664761904715835
