timestamp,Cpu_usage,Memory_usage(bytes),Memory_capacity(bytes),Memory_usage,year,month,day,hour,minute,second,api_server_requests
2022-05-24 22:10:30,10.935333333327437,80124145664.0,99329359872.0,80.66511831673067,2022,5,24,22,10,30,46.0
2022-05-24 22:11:30,10.975904761905605,79538425856.0,99329359872.0,80.07544391557197,2022,5,24,22,11,30,46.0
2022-05-24 22:12:30,10.773714285707548,79183728640.0,99329359872.0,79.7183518972029,2022,5,24,22,12,30,51.0
2022-05-24 22:13:30,10.7320952380963,79284576256.0,99329359872.0,79.81988040411159,2022,5,24,22,13,30,51.0
2022-05-24 22:14:30,10.541999999999204,79371259904.0,99329359872.0,79.90714931243004,2022,5,24,22,14,30,49.0
2022-05-24 22:15:30,10.512285714291611,79455834112.0,99329359872.0,79.99229453848302,2022,5,24,22,15,30,49.0
2022-05-24 22:16:30,11.231904761903435,80151871488.0,99329359872.0,80.69303133664314,2022,5,24,22,16,30,48.0
2022-05-24 22:17:30,11.125047619044334,79800565760.0,99329359872.0,80.33935370451836,2022,5,24,22,17,30,48.0
2022-05-24 22:18:30,10.814095238092841,79755644928.0,99329359872.0,80.2941295814012,2022,5,24,22,18,30,40.0
2022-05-24 22:19:30,10.768476190476772,80400470016.0,99329359872.0,80.94330832254172,2022,5,24,22,19,30,38.0
2022-05-24 22:20:30,10.808190476192562,79999086592.0,99329359872.0,80.53921488580032,2022,5,24,22,20,30,41.0
2022-05-24 22:21:30,11.015238095245635,80276484096.0,99329359872.0,80.81848528919109,2022,5,24,22,21,30,41.0
2022-05-24 22:22:30,11.125619047611865,80452509696.0,99329359872.0,80.99569935784797,2022,5,24,22,22,30,38.0
2022-05-24 22:23:30,10.923047619050239,79551492096.0,99329359872.0,80.08859837465317,2022,5,24,22,23,30,45.0
2022-05-24 22:24:30,10.829809523808462,78227165184.0,99329359872.0,78.75533003012083,2022,5,24,22,24,30,45.0
2022-05-24 22:25:30,11.095047619041901,78363148288.0,99329359872.0,78.89223124862785,2022,5,24,22,25,30,52.0
2022-05-24 22:26:30,10.688285714281454,78134132736.0,99329359872.0,78.66166945673156,2022,5,24,22,26,30,52.0
2022-05-24 22:27:30,10.672476190472732,77822685184.0,99329359872.0,78.34811911028682,2022,5,24,22,27,30,43.0
2022-05-24 22:28:30,10.844857142860116,78217396224.0,99329359872.0,78.74549511322154,2022,5,24,22,28,30,43.0
2022-05-24 22:29:30,10.935435327502379,78783520768.0,99329359872.0,79.31544194941331,2022,5,24,22,29,30,42.0
2022-05-24 22:30:30,10.953904761906182,79331409920.0,99329359872.0,79.86703027405976,2022,5,24,22,30,30,39.0
2022-05-24 22:31:30,11.22904761904696,79396806656.0,99329359872.0,79.932868547944,2022,5,24,22,31,30,39.0
2022-05-24 22:32:30,10.753238095242223,79122632704.0,99329359872.0,79.65684346094726,2022,5,24,22,32,30,35.0
2022-05-24 22:33:30,11.15590476190805,78670893056.0,99329359872.0,79.2020538110571,2022,5,24,22,33,30,35.0
2022-05-24 22:34:30,10.851142857138383,78555320320.0,99329359872.0,79.08570076483902,2022,5,24,22,34,30,35.0
2022-05-24 22:35:30,10.484159521743718,78177701888.0,99329359872.0,78.70553277373688,2022,5,24,22,35,30,35.0
2022-05-24 22:36:30,10.516857142856216,78523912192.0,99329359872.0,79.05408057918547,2022,5,24,22,36,30,45.0
2022-05-24 22:37:30,10.501904761902102,78561787904.0,99329359872.0,79.09221201590147,2022,5,24,22,37,30,45.0
2022-05-24 22:38:30,10.61647619047602,78548578304.0,99329359872.0,79.0789132288993,2022,5,24,22,38,30,34.0
2022-05-24 22:39:30,10.741809523810767,79117897728.0,99329359872.0,79.6520765159009,2022,5,24,22,39,30,38.0
2022-05-24 22:40:30,10.607888525768637,78822170624.0,99329359872.0,79.35435275690246,2022,5,24,22,40,30,38.0
2022-05-24 22:41:30,10.804761904760797,79464554496.0,99329359872.0,80.0010737997319,2022,5,24,22,41,30,35.0
2022-05-24 22:42:30,10.899954479900952,79289163776.0,99329359872.0,79.8244988975821,2022,5,24,22,42,30,36.0
