timestamp,Cpu_usage,Memory_usage(bytes),api_server_requests,api_server_requests_lt
2022-05-29 21:40:09,6.591238095241024,70165991424.0,37,3.6109179126442243
2022-05-29 21:55:09,5.832095238091872,67646607360.0,25,3.2188758248682006
2022-05-29 22:10:09,5.511619047612131,68342927360.0,28,3.332204510175204
2022-05-29 22:25:09,5.871047619042831,68696535040.0,39,3.6635616461296463
2022-05-29 22:40:09,5.484423402373573,68905414656.0,33,3.4965075614664802
2022-05-29 22:55:09,5.881047619043276,69841924096.0,35,3.5553480614894135
2022-05-29 23:10:09,5.681523809530997,69853003776.0,25,3.2188758248682006
2022-05-29 23:25:09,5.832285714293613,70871666688.0,28,3.332204510175204
2022-05-29 23:40:09,5.5681904761719405,70928453632.0,16,2.772588722239781
2022-05-29 23:55:09,5.852571428578259,72433627136.0,36,3.58351893845611
2022-05-30 00:10:09,5.859809523812009,69406330880.0,16,2.772588722239781
2022-05-30 00:25:09,5.7596190476213565,71251156992.0,17,2.833213344056216
2022-05-30 00:40:09,5.767238095240848,71046131712.0,30,3.4011973816621555
2022-05-30 00:55:09,6.046761904765543,72613236736.0,34,3.5263605246161616
2022-05-30 01:10:09,5.751523809527449,73132769280.0,14,2.6390573296152584
2022-05-30 01:25:09,5.695904761892081,66140741632.0,18,2.8903717578961645
2022-05-30 01:40:09,6.783333333337769,74415296512.0,22,3.091042453358316
2022-05-30 01:55:09,8.856857142852446,76032212992.0,31,3.4339872044851463
2022-05-30 02:10:09,12.652857142855373,74278453248.0,67,4.204692619390966
2022-05-30 02:25:09,6.874859684288582,75082465280.0,19,2.9444389791664403
2022-05-30 02:40:09,6.722095238100296,75498004480.0,30,3.4011973816621555
2022-05-30 02:55:09,6.713714285709326,74206806016.0,32,3.4657359027997265
2022-05-30 03:10:09,6.696380952368715,74955608064.0,38,3.6375861597263857
2022-05-30 03:25:09,6.904000000005945,75528237056.0,41,3.713572066704308
2022-05-30 03:40:09,6.520761904767938,74208444416.0,27,3.295836866004329
2022-05-30 03:55:09,6.788190476192786,74924924928.0,26,3.258096538021482
2022-05-30 04:10:09,7.190380952387516,74684026880.0,35,3.5553480614894135
2022-05-30 04:25:09,6.780380952391511,74715885568.0,39,3.6635616461296463
2022-05-30 04:40:09,6.711523809519022,75970134016.0,29,3.367295829986474
2022-05-30 04:55:09,6.760952380958149,74206547968.0,19,2.9444389791664403
2022-05-30 05:10:09,6.988000000006566,75666477056.0,26,3.258096538021482
2022-05-30 05:25:09,6.775428571425649,76151914496.0,40,3.6888794541139363
2022-05-30 05:40:09,6.656571428570898,74941640704.0,27,3.295836866004329
2022-05-30 05:55:09,6.934000000000621,75481055232.0,33,3.4965075614664802
2022-05-30 06:10:09,6.749047619042297,74760458240.0,24,3.1780538303479458
2022-05-30 06:25:09,6.709047619049395,74817781760.0,23,3.1354942159291497
2022-05-30 06:40:09,6.999333333348238,76073762816.0,17,2.833213344056216
2022-05-30 06:55:09,6.839238095245815,74474180608.0,23,3.1354942159291497
2022-05-30 07:10:09,6.630666666661967,75687108608.0,20,2.995732273553991
2022-05-30 07:25:09,6.632567417455299,75869028352.0,27,3.295836866004329
2022-05-30 07:40:09,6.9059047618991745,74909937664.0,22,3.091042453358316
2022-05-30 07:55:09,6.73761904762304,75712643072.0,29,3.367295829986474
2022-05-30 08:10:09,6.609142857149157,74662395904.0,24,3.1780538303479458
2022-05-30 08:25:09,6.603047619059331,75161186304.0,22,3.091042453358316
2022-05-30 08:40:09,7.046252220624094,76109844480.0,24,3.1780538303479458
2022-05-30 08:55:09,6.688666666664981,74537947136.0,28,3.332204510175204
2022-05-30 09:10:09,6.799142857139844,75625271296.0,22,3.091042453358316
2022-05-30 09:25:09,6.642380952367208,75975852032.0,18,2.8903717578961645
2022-05-30 09:40:09,6.724571428576575,74810269696.0,17,2.833213344056216
2022-05-30 09:55:09,6.871904761907426,75394863104.0,39,3.6635616461296463
2022-05-30 10:10:09,7.03647619048134,74454786048.0,19,2.9444389791664403
2022-05-30 10:25:09,6.768761904763858,74599464960.0,21,3.044522437723423
2022-05-30 10:40:09,6.685142857135674,76109316096.0,21,3.044522437723423
2022-05-30 10:55:09,6.82857142857365,74381537280.0,18,2.8903717578961645
